,company,cons,pros,rating,title
2653,Google,"-Obsessed with numbers, values metrics more than innovation in many cases - Hard to understand your individual impact -Structure is ambiguous and disorganized","-Fail fast, learn fast - Great and customized mentor programs -A lot of social, networking, and speaker series events for interns to grow and connect -Champions those who seek to do the extra mile",4.0,"""Google BOLD Internship"""
2654,Google,Very challenging to get in. It can also be very stressful at times. Lots of extra benefits that come with the job.,You will learn a lot as there are many people who are more talented than you. This can be very hard to find at times.,5.0,"""Google"""
2655,Google,Contractors aren't seen as equals with full time employees. Limited upward mobility in sourcing or recruiting. Not much diversity. Lots of politics.,"Great culture Good benefits (free food, shuttles, office space) Growth opportunities Flat structure Casual dress code Flexible work schedules Pet friendly",4.0,"""Technical Sourcer"""
2656,Google,"No direct recruitment, It is done through third parties","Many projects, Good environment to work",5.0,"""Projectes"""
2657,Google,"Advancement means seeing goodbye to your social life and if you live in the city, the commute isn't fun.",The opportunities for growth are great and the overall working environment is positive,5.0,"""Great place to work"""
2658,Google,Managers may get a little too stuck in the weeds.,"Intelligent, friendly, and driven coworkers. Everyone strives to make this a better company every single day.",5.0,"""Great company to work for"""
2659,Google,"big company, hard to rise to senior management",great benefits and fun culture,5.0,"""Internship"""
2660,Google,really distributed teams and workflow,"large scale work, good food, smart people",4.0,"""Great benefits"""
2661,Google,Nothing that jumps to mind.,"Work, people, facilities and food.",5.0,"""Better than I imagined"""
2662,Google,"Big company, more bureaucracy than before","The people, the perks, the culture",5.0,"""executive assistant"""
2663,Google,Slow progression through eng levels,"Great eng support, personal development",5.0,"""Good place to work"""
2664,Google,"Though more ""flat"" than other companies, as Google grew there was more and more need for typical career bureaucracy. It became necessary to champion your achievements up the ladder and jockey for recognition. Managers are stuck in the middle and with such a talented group of employees, it's hard to please them all. Lots of the most ambitious talent left for better career growth and prospects elsewhere.","Truly the smartest groups of people you'll ever work with. More than anything, this was a reason to go to work every day. But also, working on products that the entire world touches is humbling and inspiring.",4.0,"""Super smart people, management growth pains"""
2665,Google,None that I can think of,Great company culture !,5.0,"""Great"""
2666,Google,Politics in recruiting is unbearable.,Great company with lots of perks. Fun environment,3.0,"""Sourcer"""
2667,Google,"recruiting is undervalued culturally at Google. Most engineering leaders do not wish to align with recruiting as a trusted business partner, but rather a support service.","interesting technologies, great perks. Opportunity to work amongst some great people and be part of an exciting and innovative culture.",3.0,"""Sr. Technical Sourcer"""
2668,Google,Need to be mindful of the team you're in to feel like you're delivering impactful work.,"Great company, smart management, efficient/productive colleagues, good perks.",5.0,"""Analyst"""
